timestamp,iteration,client_id,operation,target,phase,written_version,observed_version,max_seen_before,read_concern,write_concern,causal_session,scenario,scenario_event,target_node,event_time,latency_ms,success,violation,error
1789631791.3156369,66,client_mr,READ_PRIMARY,primary,normal,66,66,65,local,1,False,partition,,,,0.17,True,False,
1789631791.3160055,66,client_mr,READ_SECONDARY,localhost:27019,normal,66,65,66,local,1,False,partition,,,,0.37,True,True,
1789631791.3163462,67,client_mr,READ_PRIMARY,primary,normal,67,67,66,local,1,False,partition,,,,0.14,True,False,
1789631791.316618,67,client_mr,READ_SECONDARY,localhost:27018,normal,67,67,67,local,1,False,partition,,,,0.27,True,False,
1789631791.3169363,68,client_mr,READ_PRIMARY,primary,normal,68,68,67,local,1,False,partition,,,,0.13,True,False,
1789631791.3171425,68,client_mr,READ_SECONDARY,localhost:27019,normal,68,67,68,local,1,False,partition,,,,0.21,True,True,
1789631791.317442,69,client_mr,READ_PRIMARY,primary,normal,69,69,68,local,1,False,partition,,,,0.13,True,False,
1789631791.317639,69,client_mr,READ_SECONDARY,localhost:27018,normal,69,68,69,local,1,False,partition,,,,0.2,True,True,
1789631791.3181388,70,client_mr,READ_PRIMARY,primary,normal,70,70,69,local,1,False,partition,,,,0.22,True,False,
1789631791.318418,70,client_mr,READ_SECONDARY,localhost:27019,normal,70,68,70,local,1,False,partition,,,,0.28,True,True,
1789631791.3187952,71,client_mr,READ_PRIMARY,primary,normal,71,71,70,local,1,False,partition,,,,0.18,True,False,
1789631791.319006,71,client_mr,READ_SECONDARY,localhost:27018,normal,71,71,71,local,1,False,partition,,,,0.21,True,False,
1789631791.3194053,72,client_mr,READ_PRIMARY,primary,normal,72,72,71,local,1,False,partition,,,,0.16,True,False,
1789631791.319666,72,client_mr,READ_SECONDARY,localhost:27019,normal,72,71,72,local,1,False,partition,,,,0.26,True,True,
1789631791.3200283,73,client_mr,READ_PRIMARY,primary,normal,73,73,72,local,1,False,partition,,,,0.15,True,False,
1789631791.3202817,73,client_mr,READ_SECONDARY,localhost:27018,normal,73,73,73,local,1,False,partition,,,,0.25,True,False,
1789631791.3206027,74,client_mr,READ_PRIMARY,primary,normal,74,74,73,local,1,False,partition,,,,0.11,True,False,
1789631791.320819,74,client_mr,READ_SECONDARY,localhost:27019,normal,74,73,74,local,1,False,partition,,,,0.22,True,True,
1789631791.3211367,75,client_mr,READ_PRIMARY,primary,normal,75,75,74,local,1,False,partition,,,,0.15,True,False,
1789631791.3213985,75,client_mr,READ_SECONDARY,localhost:27018,normal,75,75,75,local,1,False,partition,,,,0.26,True,False,
1789631791.3217978,76,client_mr,READ_PRIMARY,primary,normal,76,76,75,local,1,False,partition,,,,0.16,True,False,
1789631791.322065,76,client_mr,READ_SECONDARY,localhost:27019,normal,76,75,76,local,1,False,partition,,,,0.27,True,True,
1789631791.3223662,77,client_mr,READ_PRIMARY,primary,normal,77,77,76,local,1,False,partition,,,,0.12,True,False,
1789631791.3226154,77,client_mr,READ_SECONDARY,localhost:27018,normal,77,76,77,local,1,False,partition,,,,0.25,True,True,
1789631791.3229697,78,client_mr,READ_PRIMARY,primary,normal,78,78,77,local,1,False,partition,,,,0.14,True,False,
1789631791.323123,78,client_mr,READ_SECONDARY,localhost:27019,normal,78,77,78,local,1,False,partition,,,,0.15,True,True,
1789631791.3235323,79,client_mr,READ_PRIMARY,primary,normal,79,79,78,local,1,False,partition,,,,0.13,True,False,
1789631791.3237085,79,client_mr,READ_SECONDARY,localhost:27018,normal,79,79,79,local,1,False,partition,,,,0.17,True,False,
1789631791.324009,80,client_mr,READ_PRIMARY,primary,normal,80,80,79,local,1,False,partition,,,,0.12,True,False,
1789631791.3241386,80,client_mr,READ_SECONDARY,localhost:27019,normal,80,78,80,local,1,False,partition,,,,0.13,True,True,
1789631791.324476,81,client_mr,READ_PRIMARY,primary,normal,81,81,80,local,1,False,partition,,,,0.12,True,False,
1789631791.3247266,81,client_mr,READ_SECONDARY,localhost:27018,normal,81,81,81,local,1,False,partition,,,,0.25,True,False,
1789631791.3250368,82,client_mr,READ_PRIMARY,primary,normal,82,82,81,local,1,False,partition,,,,0.12,True,False,
1789631791.3251667,82,client_mr,READ_SECONDARY,localhost:27019,normal,82,80,82,local,1,False,partition,,,,0.13,True,True,
1789631791.325489,83,client_mr,READ_PRIMARY,primary,normal,83,83,82,local,1,False,partition,,,,0.12,True,False,
1789631791.3256874,83,client_mr,READ_SECONDARY,localhost:27018,normal,83,82,83,local,1,False,partition,,,,0.2,True,True,
1789631791.325991,84,client_mr,READ_PRIMARY,primary,normal,84,84,83,local,1,False,partition,,,,0.11,True,False,
1789631791.326123,84,client_mr,READ_SECONDARY,localhost:27019,normal,84,83,84,local,1,False,partition,,,,0.13,True,True,
1789631791.326418,85,client_mr,READ_PRIMARY,primary,normal,85,85,84,local,1,False,partition,,,,0.12,True,False,
1789631791.326618,85,client_mr,READ_SECONDARY,localhost:27018,normal,85,85,85,local,1,False,partition,,,,0.2,True,False,
1789631791.327024,86,client_mr,READ_PRIMARY,primary,normal,86,86,85,local,1,False,partition,,,,0.14,True,False,
1789631791.327164,86,client_mr,READ_SECONDARY,localhost:27019,normal,86,84,86,local,1,False,partition,,,,0.14,True,True,
1789631791.327493,87,client_mr,READ_PRIMARY,primary,normal,87,87,86,local,1,False,partition,,,,0.13,True,False,
1789631791.3277583,87,client_mr,READ_SECONDARY,localhost:27018,normal,87,86,87,local,1,False,partition,,,,0.26,True,True,
1789631791.3281145,88,client_mr,READ_PRIMARY,primary,normal,88,88,87,local,1,False,partition,,,,0.15,True,False,
1789631791.3283052,88,client_mr,READ_SECONDARY,localhost:27019,normal,88,87,88,local,1,False,partition,,,,0.19,True,True,
1789631791.3286495,89,client_mr,READ_PRIMARY,primary,normal,89,89,88,local,1,False,partition,,,,0.12,True,False,
1789631791.328848,89,client_mr,READ_SECONDARY,localhost:27018,normal,89,89,89,local,1,False,partition,,,,0.2,True,False,
1789631791.3292274,90,client_mr,READ_PRIMARY,primary,normal,90,90,89,local,1,False,partition,,,,0.13,True,False,
1789631791.329365,90,client_mr,READ_SECONDARY,localhost:27019,normal,90,89,90,local,1,False,partition,,,,0.14,True,True,
1789631791.3300216,91,client_mr,READ_PRIMARY,primary,normal,91,91,90,local,1,False,partition,,,,0.21,True,False,
1789631791.3301923,91,client_mr,READ_SECONDARY,localhost:27018,normal,91,91,91,local,1,False,partition,,,,0.17,True,False,
1789631791.3305252,92,client_mr,READ_PRIMARY,primary,normal,92,92,91,local,1,False,partition,,,,0.12,True,False,
1789631791.3306632,92,client_mr,READ_SECONDARY,localhost:27019,normal,92,91,92,local,1,False,partition,,,,0.14,True,True,
1789631791.330951,93,client_mr,READ_PRIMARY,primary,normal,93,93,92,local,1,False,partition,,,,0.11,True,False,
1789631791.3312004,93,client_mr,READ_SECONDARY,localhost:27018,normal,93,92,93,local,1,False,partition,,,,0.25,True,True,
1789631791.3315637,94,client_mr,READ_PRIMARY,primary,normal,94,94,93,local,1,False,partition,,,,0.13,True,False,
1789631791.3317306,94,client_mr,READ_SECONDARY,localhost:27019,normal,94,93,94,local,1,False,partition,,,,0.17,True,True,
1789631791.33207,95,client_mr,READ_PRIMARY,primary,normal,95,95,94,local,1,False,partition,,,,0.12,True,False,
1789631791.332309,95,client_mr,READ_SECONDARY,localhost:27018,normal,95,94,95,local,1,False,partition,,,,0.24,True,True,
1789631791.3326526,96,client_mr,READ_PRIMARY,primary,normal,96,96,95,local,1,False,partition,,,,0.14,True,False,
1789631791.3327827,96,client_mr,READ_SECONDARY,localhost:27019,normal,96,95,96,local,1,False,partition,,,,0.13,True,True,
1789631791.3330648,97,client_mr,READ_PRIMARY,primary,normal,97,97,96,local,1,False,partition,,,,0.12,True,False,
1789631791.3332725,97,client_mr,READ_SECONDARY,localhost:27018,normal,97,97,97,local,1,False,partition,,,,0.21,True,False,
1789631791.3336277,98,client_mr,READ_PRIMARY,primary,normal,98,98,97,local,1,False,partition,,,,0.14,True,False,
1789631791.3337698,98,client_mr,READ_SECONDARY,localhost:27019,normal,98,97,98,local,1,False,partition,,,,0.14,True,True,
1789631791.3341591,99,client_mr,READ_PRIMARY,primary,normal,99,99,98,local,1,False,partition,,,,0.14,True,False,
1789631791.3344223,99,client_mr,READ_SECONDARY,localhost:27018,normal,99,98,99,local,1,False,partition,,,,0.26,True,True,
1789631791.3347783,100,client_mr,READ_PRIMARY,primary,normal,100,100,99,local,1,False,partition,,,,0.15,True,False,
1789631791.3349338,100,client_mr,READ_SECONDARY,localhost:27019,normal,100,99,100,local,1,False,partition,,,,0.15,True,True,
1789631791.335315,101,client_mr,READ_PRIMARY,primary,normal,101,101,100,local,1,False,partition,,,,0.19,True,False,
1789631791.335523,101,client_mr,READ_SECONDARY,localhost:27018,normal,101,101,101,local,1,False,partition,,,,0.21,True,False,
1789631791.335885,102,client_mr,READ_PRIMARY,primary,normal,102,102,101,local,1,False,partition,,,,0.14,True,False,
1789631791.3360698,102,client_mr,READ_SECONDARY,localhost:27019,normal,102,101,102,local,1,False,partition,,,,0.18,True,True,
