iteration,timestamp,client_id,operation,target,phase,failed_node,written_version,observed_version,max_seen_before,read_concern,write_concern,causal_session,scenario,latency_ms,success,violation,error
47,1789628127.1121657,client_mr,READ_PRIMARY,primary,normal,,47,47,46,majority,majority,True,failure,0.19,True,False,
47,1789628127.1123815,client_mr,READ_SECONDARY,session_secondary,normal,,47,47,47,majority,majority,True,failure,0.21,True,False,
48,1789628127.113376,client_mr,READ_PRIMARY,primary,normal,,48,48,47,majority,majority,True,failure,0.18,True,False,
48,1789628127.1136098,client_mr,READ_SECONDARY,session_secondary,normal,,48,48,48,majority,majority,True,failure,0.23,True,False,
49,1789628127.1146202,client_mr,READ_PRIMARY,primary,normal,,49,49,48,majority,majority,True,failure,0.17,True,False,
49,1789628127.1148872,client_mr,READ_SECONDARY,session_secondary,normal,,49,49,49,majority,majority,True,failure,0.27,True,False,
50,1789628127.1160555,client_mr,READ_PRIMARY,primary,normal,,50,50,49,majority,majority,True,failure,0.18,True,False,
50,1789628127.1162972,client_mr,READ_SECONDARY,session_secondary,normal,,50,50,50,majority,majority,True,failure,0.24,True,False,
51,1789628127.1173055,client_mr,READ_PRIMARY,primary,normal,,51,51,50,majority,majority,True,failure,0.18,True,False,
51,1789628127.1175582,client_mr,READ_SECONDARY,session_secondary,normal,,51,51,51,majority,majority,True,failure,0.25,True,False,
52,1789628127.1185048,client_mr,READ_PRIMARY,primary,normal,,52,52,51,majority,majority,True,failure,0.21,True,False,
52,1789628127.1187618,client_mr,READ_SECONDARY,session_secondary,normal,,52,52,52,majority,majority,True,failure,0.26,True,False,
53,1789628127.1197252,client_mr,READ_PRIMARY,primary,normal,,53,53,52,majority,majority,True,failure,0.19,True,False,
53,1789628127.119953,client_mr,READ_SECONDARY,session_secondary,normal,,53,53,53,majority,majority,True,failure,0.23,True,False,
54,1789628127.1208253,client_mr,READ_PRIMARY,primary,normal,,54,54,53,majority,majority,True,failure,0.19,True,False,
54,1789628127.1210473,client_mr,READ_SECONDARY,session_secondary,normal,,54,54,54,majority,majority,True,failure,0.22,True,False,
55,1789628127.1219566,client_mr,READ_PRIMARY,primary,normal,,55,55,54,majority,majority,True,failure,0.16,True,False,
55,1789628127.1222298,client_mr,READ_SECONDARY,session_secondary,normal,,55,55,55,majority,majority,True,failure,0.27,True,False,
56,1789628127.123244,client_mr,READ_PRIMARY,primary,normal,,56,56,55,majority,majority,True,failure,0.24,True,False,
56,1789628127.1234531,client_mr,READ_SECONDARY,session_secondary,normal,,56,56,56,majority,majority,True,failure,0.21,True,False,
57,1789628127.1242988,client_mr,READ_PRIMARY,primary,normal,,57,57,56,majority,majority,True,failure,0.18,True,False,
57,1789628127.1245608,client_mr,READ_SECONDARY,session_secondary,normal,,57,57,57,majority,majority,True,failure,0.26,True,False,
58,1789628127.125838,client_mr,READ_PRIMARY,primary,normal,,58,58,57,majority,majority,True,failure,0.17,True,False,
58,1789628127.1261272,client_mr,READ_SECONDARY,session_secondary,normal,,58,58,58,majority,majority,True,failure,0.29,True,False,
59,1789628127.1270435,client_mr,READ_PRIMARY,primary,normal,,59,59,58,majority,majority,True,failure,0.19,True,False,
59,1789628127.1273057,client_mr,READ_SECONDARY,session_secondary,normal,,59,59,59,majority,majority,True,failure,0.26,True,False,
60,1789628127.1282003,client_mr,READ_PRIMARY,primary,normal,,60,60,59,majority,majority,True,failure,0.19,True,False,
60,1789628127.1284244,client_mr,READ_SECONDARY,session_secondary,normal,,60,60,60,majority,majority,True,failure,0.22,True,False,
61,1789628127.1293447,client_mr,READ_PRIMARY,primary,normal,,61,61,60,majority,majority,True,failure,0.19,True,False,
61,1789628127.129603,client_mr,READ_SECONDARY,session_secondary,normal,,61,61,61,majority,majority,True,failure,0.26,True,False,
62,1789628127.1305408,client_mr,READ_PRIMARY,primary,normal,,62,62,61,majority,majority,True,failure,0.24,True,False,
62,1789628127.1307802,client_mr,READ_SECONDARY,session_secondary,normal,,62,62,62,majority,majority,True,failure,0.24,True,False,
63,1789628127.1315815,client_mr,READ_PRIMARY,primary,normal,,63,63,62,majority,majority,True,failure,0.15,True,False,
63,1789628127.1318326,client_mr,READ_SECONDARY,session_secondary,normal,,63,63,63,majority,majority,True,failure,0.25,True,False,
64,1789628127.1328516,client_mr,READ_PRIMARY,primary,normal,,64,64,63,majority,majority,True,failure,0.17,True,False,
64,1789628127.133066,client_mr,READ_SECONDARY,session_secondary,normal,,64,64,64,majority,majority,True,failure,0.21,True,False,
65,1789628127.1339371,client_mr,READ_PRIMARY,primary,normal,,65,65,64,majority,majority,True,failure,0.18,True,False,
65,1789628127.1341817,client_mr,READ_SECONDARY,session_secondary,normal,,65,65,65,majority,majority,True,failure,0.24,True,False,
66,1789628127.1353762,client_mr,READ_PRIMARY,primary,normal,,66,66,65,majority,majority,True,failure,0.16,True,False,
66,1789628127.1355789,client_mr,READ_SECONDARY,session_secondary,normal,,66,66,66,majority,majority,True,failure,0.2,True,False,
67,1789628127.1366153,client_mr,READ_PRIMARY,primary,normal,,67,67,66,majority,majority,True,failure,0.22,True,False,
67,1789628127.1368096,client_mr,READ_SECONDARY,session_secondary,normal,,67,67,67,majority,majority,True,failure,0.19,True,False,
