model,scenario,profile,phase,repeats,attempts_total,eligible_total,violations_total,errors_total,not_observed_total,successful_mr_reads_total,mr_read_regressions_total,violation_rate_mean,violation_rate_sd,violation_rate_n,coverage_mean,coverage_sd,coverage_n,eligible_workload_p50_ms_mean,eligible_workload_p50_ms_sd,eligible_workload_p50_ms_n,eligible_workload_p95_ms_mean,eligible_workload_p95_ms_sd,eligible_workload_p95_ms_n
mw,failure,causal,overall,3,3000,3000,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,19.359333333333336,3.6871848791908084,3,22.965999999999998,4.467990935532435,3
mw,failure,causal,recovery,3,1203,1203,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,19.239,3.874643725557229,3,22.599666666666668,4.508907776095374,3
mw,failure,causal,transition,3,3,3,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,306.171,54.86643029211941,3,306.171,54.86643029211941,3
mw,failure,majority,fault,3,1197,1197,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,17.198666666666668,0.9844233506644049,3,21.032,0.9299999999999996,3
mw,failure,majority,normal,3,597,597,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,17.345,1.0197504596713842,3,20.083000000000002,0.9341150892689833,3
mw,failure,majority,overall,3,3000,3000,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,17.331666666666667,0.7216275586016184,3,20.588,0.7523091120011786,3
mw,failure,majority,recovery,3,1203,1203,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,17.400666666666666,0.8336572037314458,3,20.037333333333333,0.6910118185192888,3
mw,failure,majority,transition,3,3,3,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,348.31,41.76964778400701,3,348.31,41.76964778400701,3
mw,failure,weak,fault,3,1197,1197,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,99.97966666666666,1.302035457786509,3,113.79933333333334,0.4516263204612148,3
mw,failure,weak,normal,3,597,597,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,26.054,0.9639434630723948,3,30.259666666666668,1.0019113400562607,3
mw,failure,weak,overall,3,3000,3000,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,28.351666666666667,0.5431918016072528,3,111.633,1.2349668011732196,3
mw,failure,weak,recovery,3,1203,1203,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,24.905,1.406857491006107,3,30.946333333333335,0.2996903957976193,3
mw,failure,weak,transition,3,3,3,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,322.4316666666667,50.97370852050431,3,322.4316666666667,50.97370852050431,3
mw,normal,causal,normal,3,3000,3000,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,18.481333333333332,3.5909893251488976,3,22.141000000000002,3.7233542673240203,3
mw,normal,causal,overall,3,3000,3000,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,18.481333333333332,3.5909893251488976,3,22.141000000000002,3.7233542673240203,3
mw,normal,majority,normal,3,3000,3000,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,17.349,0.9481935456435037,3,20.762999999999998,1.2945087871466932,3
mw,normal,majority,overall,3,3000,3000,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,17.349,0.9481935456435037,3,20.762999999999998,1.2945087871466932,3
mw,normal,weak,normal,3,3000,3000,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,25.591333333333335,0.5561135975080398,3,29.939666666666668,1.3378554979269377,3
mw,normal,weak,overall,3,3000,3000,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,25.591333333333335,0.5561135975080398,3,29.939666666666668,1.3378554979269377,3
mw,partition,causal,fault,3,1197,1197,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,20.824333333333332,5.757915624019974,3,26.26,7.901779799513523,3
mw,partition,causal,normal,3,597,597,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,20.954666666666668,6.292354196430246,3,25.83566666666667,7.6788574888021826,3
mw,partition,causal,overall,3,3000,2997,0,3,0,0,0,0.0,0.0,3,0.999,0.0,3,20.464333333333332,6.2824251952039445,3,25.432333333333332,7.549725580001787,3
mw,partition,causal,recovery,3,1203,1203,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,20.053333333333335,6.712065727727444,3,23.965666666666664,7.1994461129543375,3
mw,partition,causal,transition,3,3,0,0,3,0,0,0,,,0,0.0,0.0,3,,,0,,,0
mw,partition,majority,fault,3,1197,1196,0,1,0,0,0,0.0,0.0,3,0.9991645781119465,0.0014469931558637556,3,18.39666666666667,2.071726172382185,3,22.886,2.997665258163425,3
mw,partition,majority,normal,3,597,597,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,16.799,0.8067291986782176,3,20.303333333333335,2.1196486344046113,3
mw,partition,majority,overall,3,3000,2996,0,4,0,0,0,0.0,0.0,3,0.9986666666666667,0.0005773502691896262,3,17.526666666666667,1.8620371460669973,3,21.765,2.2772518525626446,3
mw,partition,majority,recovery,3,1203,1203,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,17.160333333333334,2.100710435384498,3,20.742666666666665,1.9046381108581576,3
mw,partition,majority,transition,3,3,0,0,3,0,0,0,,,0,0.0,0.0,3,,,0,,,0
mw,partition,weak,fault,3,1197,1161,0,0,36,0,0,0.0,0.0,3,0.9699248120300752,0.002506265664160401,3,99.28266666666667,0.9932418302373941,3,114.46833333333333,0.8890311205651591,3
mw,partition,weak,normal,3,597,597,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,24.610666666666667,1.040632660131966,3,28.466666666666665,3.0809401703592583,3
mw,partition,weak,overall,3,3000,2961,0,3,36,0,0,0.0,0.0,3,0.987,0.0010000000000000009,3,27.650333333333332,1.181616407017665,3,112.15533333333333,0.22104826019069282,3
mw,partition,weak,recovery,3,1203,1203,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,25.988666666666667,0.5982343465008791,3,29.366666666666667,1.017642537108848,3
mw,partition,weak,transition,3,3,0,0,3,0,0,0,,,0,0.0,0.0,3,,,0,,,0
ryw,failure,causal,fault,3,1197,1197,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,10.230333333333334,1.120885513035712,3,12.910333333333334,1.1169021144815385,3
ryw,failure,causal,normal,3,597,597,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,9.835,0.37091104054746077,3,11.931000000000001,0.5648220958850679,3
ryw,failure,causal,overall,3,3000,3000,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,10.102,0.89465132873092,3,12.563,0.9699505142016265,3
ryw,failure,causal,recovery,3,1203,1203,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,10.134,1.2197257888558397,3,12.203666666666667,1.046245828346921,3
ryw,failure,causal,transition,3,3,3,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,23.043333333333333,14.519468734541679,3,23.043333333333333,14.519468734541679,3
ryw,failure,majority,fault,3,1197,1197,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,9.928666666666667,0.19635257404305512,3,12.668666666666667,0.2271482628886547,3
ryw,failure,majority,normal,3,597,597,7,0,0,0,0,0.01172529313232831,0.007676006189205762,3,1.0,0.0,3,10.210333333333333,0.7645667618549304,3,12.309333333333333,0.5944361473979638,3
ryw,failure,majority,overall,3,3000,3000,7,0,0,0,0,0.0023333333333333335,0.0015275252316519466,3,1.0,0.0,3,9.759333333333334,0.2769554717519282,3,12.411999999999999,0.22002727103702377,3
ryw,failure,majority,recovery,3,1203,1203,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,9.336333333333332,0.19781135794825674,3,12.090666666666667,0.02638812864401997,3
ryw,failure,majority,transition,3,3,3,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,15.917,2.346433037612623,3,15.917,2.346433037612623,3
ryw,failure,weak,fault,3,1197,1197,145,0,0,0,0,0.12113617376775271,0.021315540220840555,3,1.0,0.0,3,6.413666666666667,0.11654326807384999,3,7.822666666666667,0.31209026472053447,3
ryw,failure,weak,normal,3,597,597,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,6.350666666666666,0.09760293711427626,3,7.346333333333333,0.04626373669877198,3
ryw,failure,weak,overall,3,3000,3000,149,0,0,0,0,0.049666666666666665,0.00808290376865476,3,1.0,0.0,3,6.211333333333333,0.26313938005044657,3,7.532,0.21539730731835977,3
ryw,failure,weak,recovery,3,1203,1203,4,0,0,0,0,0.0033250207813798837,0.0038092898544936325,3,1.0,0.0,3,5.7,0.7903676359770814,3,7.201666666666666,0.434051072263776,3
ryw,failure,weak,transition,3,3,3,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,10.687333333333333,0.16645820296198457,3,10.687333333333333,0.16645820296198457,3
ryw,normal,causal,normal,3,3000,3000,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,10.906333333333334,1.9470003424070923,3,13.405333333333333,2.1857795710760346,3
ryw,normal,causal,overall,3,3000,3000,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,10.906333333333334,1.9470003424070923,3,13.405333333333333,2.1857795710760346,3
ryw,normal,majority,normal,3,3000,3000,2,0,0,0,0,0.0006666666666666666,0.0005773502691896258,3,1.0,0.0,3,9.972666666666667,0.7950002096435784,3,12.247,0.6126916026844181,3
ryw,normal,majority,overall,3,3000,3000,2,0,0,0,0,0.0006666666666666666,0.0005773502691896258,3,1.0,0.0,3,9.972666666666667,0.7950002096435784,3,12.247,0.6126916026844181,3
ryw,normal,weak,normal,3,3000,3000,35,0,0,0,0,0.011666666666666665,0.010016652800877813,3,1.0,0.0,3,6.586,0.5838638539933777,3,7.968666666666667,0.5957493880259834,3
ryw,normal,weak,overall,3,3000,3000,35,0,0,0,0,0.011666666666666665,0.010016652800877813,3,1.0,0.0,3,6.586,0.5838638539933777,3,7.968666666666667,0.5957493880259834,3
ryw,partition,causal,fault,3,1197,1193,0,4,0,0,0,0.0,0.0,3,0.9966583124477861,0.0014469931558636917,3,10.181333333333333,0.1590262032915752,3,13.198666666666666,0.6058665969776957,3
ryw,partition,causal,normal,3,597,597,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,10.025333333333334,0.4694404470572744,3,11.866333333333333,0.7040556322715799,3
ryw,partition,causal,overall,3,3000,2996,0,4,0,0,0,0.0,0.0,3,0.9986666666666667,0.0005773502691896262,3,9.923,0.4063692901782816,3,12.491333333333333,0.1934562827445351,3
ryw,partition,causal,recovery,3,1203,1203,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,9.572666666666667,0.6260881194634931,3,11.778666666666666,0.4037429049944202,3
ryw,partition,causal,transition,3,3,3,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,15.408333333333333,1.3001635794519601,3,15.408333333333333,1.3001635794519601,3
ryw,partition,majority,fault,3,1197,1193,0,4,0,0,0,0.0,0.0,3,0.9966583124477861,0.0014469931558636917,3,9.728333333333333,0.6038553910774781,3,13.391333333333334,1.151340667801382,3
ryw,partition,majority,normal,3,597,597,2,0,0,0,0,0.0033500837520938024,0.005802515268237445,3,1.0,0.0,3,10.143666666666666,0.3447032540219679,3,12.263,0.9400813794560554,3
ryw,partition,majority,overall,3,3000,2996,2,4,0,0,0,0.000667334000667334,0.0011558563947740256,3,0.9986666666666667,0.0005773502691896262,3,9.943,0.4617217776973493,3,12.988666666666667,0.5004251525786184,3
ryw,partition,majority,recovery,3,1203,1203,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,9.904333333333334,0.528504809186571,3,12.619333333333334,0.2946257513072017,3
ryw,partition,majority,transition,3,3,3,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,13.706,0.7147670949337275,3,13.706,0.7147670949337275,3
ryw,partition,weak,fault,3,1197,1194,0,3,0,0,0,0.0,0.0,3,0.9974937343358395,0.0,3,6.630333333333334,1.2197972509123525,3,8.148333333333333,1.0220040769651233,3
ryw,partition,weak,normal,3,597,597,11,0,0,0,0,0.018425460636515914,0.0029012576341187228,3,1.0,0.0,3,6.3,0.17920937475478213,3,7.267666666666667,0.18131280521059004,3
ryw,partition,weak,overall,3,3000,2997,13,3,0,0,0,0.004337671004337671,0.0011558563947740256,3,0.999,0.0,3,6.468,0.7222762629354504,3,7.965,0.8029713568988627,3
ryw,partition,weak,recovery,3,1203,1203,2,0,0,0,0,0.0016625103906899418,0.0014397762323930816,3,1.0,0.0,3,6.258666666666667,0.745117664086239,3,7.726666666666667,0.6115196916971133,3
ryw,partition,weak,transition,3,3,3,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,9.428333333333333,0.7025669600353649,3,9.428333333333333,0.7025669600353649,3
wfr,failure,causal,fault,3,1197,1197,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,23.499,6.447153868180904,3,29.363333333333333,7.966969959359288,3
wfr,failure,causal,normal,3,597,597,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,23.27166666666667,6.731956723964684,3,27.238333333333333,7.5581442387224484,3
wfr,failure,causal,overall,3,3000,3000,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,23.066333333333333,6.797609457252847,3,28.186,7.7056692765781225,3
wfr,failure,causal,recovery,3,1203,1203,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,22.714666666666666,7.05068346568851,3,27.623333333333335,7.752195323476656,3
wfr,failure,causal,transition,3,3,3,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,294.86899999999997,29.487843529156216,3,294.86899999999997,29.487843529156216,3
wfr,failure,majority,fault,3,1197,1197,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,20.189,1.3550453866937444,3,24.42,0.2197817098850585,3
wfr,failure,majority,normal,3,597,597,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,20.261,1.0425770954706404,3,23.375,0.47861466755626964,3
wfr,failure,majority,overall,3,3000,3000,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,20.275333333333332,1.4740998383194188,3,26.842666666666666,5.057653045962456,3
wfr,failure,majority,recovery,3,1203,1203,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,20.576333333333334,2.124398816920526,3,27.823,6.435208388234213,3
wfr,failure,majority,transition,3,3,3,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,228.805,111.0369287354437,3,228.805,111.0369287354437,3
wfr,failure,weak,fault,3,1197,1197,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,101.75366666666667,0.34739650737066174,3,114.10333333333334,0.8568694960922226,3
wfr,failure,weak,normal,3,597,597,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,29.255666666666666,1.0387012724230835,3,34.034666666666666,1.4616926261472818,3
wfr,failure,weak,overall,3,3000,3000,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,32.144666666666666,0.5123790914287337,3,110.308,1.809060806053798,3
wfr,failure,weak,recovery,3,1203,1203,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,28.938,0.8145446580759104,3,36.342,0.6286278708425213,3
wfr,failure,weak,transition,3,3,3,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,375.3426666666667,12.09967951366206,3,375.3426666666667,12.09967951366206,3
wfr,normal,causal,normal,3,3000,3000,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,20.445,2.158388519243003,3,23.470666666666666,1.332012512453744,3
wfr,normal,causal,overall,3,3000,3000,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,20.445,2.158388519243003,3,23.470666666666666,1.332012512453744,3
wfr,normal,majority,normal,3,3000,3000,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,21.921666666666667,3.088360460395343,3,26.174333333333333,4.129351805469393,3
wfr,normal,majority,overall,3,3000,3000,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,21.921666666666667,3.088360460395343,3,26.174333333333333,4.129351805469393,3
wfr,normal,weak,normal,3,3000,3000,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,29.142666666666667,0.49471237434830034,3,34.144666666666666,0.314121526376866,3
wfr,normal,weak,overall,3,3000,3000,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,29.142666666666667,0.49471237434830034,3,34.144666666666666,0.314121526376866,3
wfr,partition,causal,fault,3,1197,1197,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,22.555333333333333,5.148199329215346,3,28.152666666666665,6.351165431110523,3
wfr,partition,causal,normal,3,597,597,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,23.502333333333333,6.303057776455277,3,28.913666666666668,8.088215522186172,3
wfr,partition,causal,overall,3,3000,2997,0,3,0,0,0,0.0,0.0,3,0.999,0.0,3,22.476666666666667,4.8848276666974995,3,27.935333333333332,6.081340011324261,3
wfr,partition,causal,recovery,3,1203,1203,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,21.922333333333334,4.155128918978727,3,26.325333333333333,3.212942628391198,3
wfr,partition,causal,transition,3,3,0,0,3,0,0,0,,,0,0.0,0.0,3,,,0,,,0
wfr,partition,majority,fault,3,1197,1197,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,23.427666666666667,7.091947851848133,3,29.417666666666666,6.909062623347201,3
wfr,partition,majority,normal,3,597,597,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,25.595666666666666,5.346113759857094,3,29.821666666666665,5.648820614370165,3
wfr,partition,majority,overall,3,3000,2997,0,3,0,0,0,0.0,0.0,3,0.999,0.0,3,23.794,6.154882289694904,3,29.839333333333332,5.808178142355254,3
wfr,partition,majority,recovery,3,1203,1203,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,23.643,5.895291086960847,3,28.38566666666667,6.130988202022032,3
wfr,partition,majority,transition,3,3,0,0,3,0,0,0,,,0,0.0,0.0,3,,,0,,,0
wfr,partition,weak,fault,3,1197,1161,0,0,36,0,0,0.0,0.0,3,0.9699248120300752,0.0,3,101.88466666666666,0.6643901965963412,3,115.99566666666666,0.7976824765113857,3
wfr,partition,weak,normal,3,597,597,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,28.598666666666666,1.5690348413382458,3,32.276666666666664,2.9934285248412627,3
wfr,partition,weak,overall,3,3000,2961,0,3,36,0,0,0.0,0.0,3,0.987,0.0,3,30.648333333333333,1.9193280942385358,3,110.53766666666667,0.4565110440431116,3
wfr,partition,weak,recovery,3,1203,1203,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,27.984666666666666,1.6188978761284887,3,32.95933333333333,1.393039243285461,3
wfr,partition,weak,transition,3,3,0,0,3,0,0,0,,,0,0.0,0.0,3,,,0,,,0
