repeat,model,scenario,profile,phase,attempts,eligible,violations,errors,not_observed,coverage,violation_rate,successful_mr_reads,mr_read_regressions,eligible_workload_p50_ms,eligible_workload_p95_ms,folder
2,ryw,partition,weak,normal,199,199,3,0,0,1.0,0.01507537688442211,0,0,5.984,6.67,20260918T142443Z_bb2bea58_ryw_partition_weak
2,ryw,partition,weak,transition,1,1,0,0,0,1.0,0.0,0,0,9.846,9.846,20260918T142443Z_bb2bea58_ryw_partition_weak
2,ryw,partition,weak,fault,399,398,0,1,0,0.9974937343358395,0.0,0,0,6.402,7.784,20260918T142443Z_bb2bea58_ryw_partition_weak
2,ryw,partition,weak,recovery,401,401,0,0,0,1.0,0.0,0,0,6.167,7.72,20260918T142443Z_bb2bea58_ryw_partition_weak
2,mw,partition,weak,overall,1000,986,0,1,13,0.986,0.0,0,0,27.501,112.581,20260918T142505Z_4c65f38f_mw_partition_weak
2,mw,partition,weak,normal,199,199,0,0,0,1.0,0.0,0,0,25.93,30.07,20260918T142505Z_4c65f38f_mw_partition_weak
2,mw,partition,weak,transition,1,0,0,1,0,0.0,,0,0,,,20260918T142505Z_4c65f38f_mw_partition_weak
2,mw,partition,weak,fault,399,386,0,0,13,0.9674185463659147,0.0,0,0,99.933,114.707,20260918T142505Z_4c65f38f_mw_partition_weak
2,mw,partition,weak,recovery,401,401,0,0,0,1.0,0.0,0,0,25.845,28.763,20260918T142505Z_4c65f38f_mw_partition_weak
2,wfr,normal,majority,overall,1000,1000,0,0,0,1.0,0.0,0,0,19.526,22.137,20260918T142638Z_aefa49a3_wfr_normal_majority
2,wfr,normal,majority,normal,1000,1000,0,0,0,1.0,0.0,0,0,19.526,22.137,20260918T142638Z_aefa49a3_wfr_normal_majority
2,wfr,partition,weak,overall,1000,999,0,1,0,0.999,0.0,0,0,30.084,113.082,20260918T142700Z_173c1540_wfr_partition_weak
2,wfr,partition,weak,normal,199,199,0,0,0,1.0,0.0,0,0,28.357,32.625,20260918T142700Z_173c1540_wfr_partition_weak
2,wfr,partition,weak,transition,1,0,0,1,0,0.0,,0,0,,,20260918T142700Z_173c1540_wfr_partition_weak
2,wfr,partition,weak,fault,399,399,0,0,0,1.0,0.0,0,0,101.125,115.363,20260918T142700Z_173c1540_wfr_partition_weak
2,wfr,partition,weak,recovery,401,401,0,0,0,1.0,0.0,0,0,28.316,31.803,20260918T142700Z_173c1540_wfr_partition_weak
