model,scenario,profile,phase,repeats,attempts_total,eligible_total,violations_total,errors_total,not_observed_total,successful_mr_reads_total,mr_read_regressions_total,violation_rate_mean,violation_rate_sd,violation_rate_n,coverage_mean,coverage_sd,coverage_n,eligible_workload_p50_ms_mean,eligible_workload_p50_ms_sd,eligible_workload_p50_ms_n,eligible_workload_p95_ms_mean,eligible_workload_p95_ms_sd,eligible_workload_p95_ms_n
mr,normal,weak,normal,3,3000,3000,4,0,0,6000,4,0.0013333333333333333,0.0015275252316519466,3,1.0,0.0,3,9.455333333333334,0.12609652387490072,3,10.929666666666666,0.5844264995132691,3
mr,normal,weak,overall,3,3000,3000,4,0,0,6000,4,0.0013333333333333333,0.0015275252316519466,3,1.0,0.0,3,9.455333333333334,0.12609652387490072,3,10.929666666666666,0.5844264995132691,3
mr,partition,causal,fault,3,1197,1194,0,3,0,2388,0,0.0,0.0,3,0.9974937343358395,0.0,3,13.671333333333333,0.3580842545174714,3,18.158333333333335,1.573907981215334,3
mr,partition,causal,normal,3,597,597,0,0,0,1194,0,0.0,0.0,3,1.0,0.0,3,13.698666666666666,0.9872144312829575,3,15.570666666666666,0.896083329458446,3
mr,partition,causal,overall,3,3000,2995,0,5,0,5992,0,0.0,0.0,3,0.9983333333333333,0.0011547005383792525,3,13.537333333333333,0.5552678032565308,3,16.51,1.0485590112149155,3
mr,partition,causal,recovery,3,1203,1201,0,2,0,2404,0,0.0,0.0,3,0.99833748960931,0.002879552464786176,3,13.347,0.41893078187213734,3,15.591666666666667,1.0729288575359195,3
mr,partition,causal,transition,3,3,3,0,0,0,6,0,0.0,0.0,3,1.0,0.0,3,17.402,1.1339845677962297,3,17.402,1.1339845677962297,3
mr,partition,majority,fault,3,1197,1194,0,3,0,2388,0,0.0,0.0,3,0.9974937343358395,0.0,3,13.164333333333333,0.6123580107529693,3,17.005666666666666,1.2162632664572806,3
mr,partition,majority,normal,3,597,597,1,0,0,1194,1,0.0016750418760469012,0.0029012576341187223,3,1.0,0.0,3,13.314666666666666,0.7556800469334449,3,15.607000000000001,1.5350009771983866,3
mr,partition,majority,overall,3,3000,2997,1,3,0,5994,1,0.000333667000333667,0.0005779281973870128,3,0.999,0.0,3,13.243,0.6273826583513445,3,16.258,1.1320331267237713,3
mr,partition,majority,recovery,3,1203,1203,0,0,0,2406,0,0.0,0.0,3,1.0,0.0,3,13.266,0.5763497202220195,3,15.534,1.003983565602546,3
mr,partition,majority,transition,3,3,3,0,0,0,6,0,0.0,0.0,3,1.0,0.0,3,16.929333333333332,0.3809387527324231,3,16.929333333333332,0.3809387527324231,3
mr,partition,weak,fault,3,1197,1194,0,3,0,2388,0,0.0,0.0,3,0.9974937343358395,0.0,3,9.754333333333333,0.3671312208643298,3,11.668,0.917933004091258,3
mr,partition,weak,normal,3,597,597,1,0,0,1194,1,0.0016750418760469012,0.0029012576341187223,3,1.0,0.0,3,9.566666666666666,0.25538467717021235,3,11.649000000000001,0.8885983344571385,3
mr,partition,weak,overall,3,3000,2997,1,3,0,5994,1,0.000333667000333667,0.0005779281973870128,3,0.999,0.0,3,9.693333333333333,0.31258012306180455,3,11.744666666666667,1.3038083959437188,3
mr,partition,weak,recovery,3,1203,1203,0,0,0,2406,0,0.0,0.0,3,1.0,0.0,3,9.640666666666666,0.32011612476308254,3,11.695,1.7433298597798415,3
mr,partition,weak,transition,3,3,3,0,0,0,6,0,0.0,0.0,3,1.0,0.0,3,14.31,1.4089680620936726,3,14.31,1.4089680620936726,3
mw,failure,causal,fault,3,1197,1197,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,17.606333333333332,0.5344504966162298,3,21.775,0.9610327777968858,3
mw,failure,causal,normal,3,597,597,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,17.057666666666666,0.6473270682841343,3,19.461666666666666,1.1151198739746924,3
mw,failure,causal,overall,3,3000,3000,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,17.269666666666666,0.7158423941995412,3,22.948333333333334,2.519024877474086,3
mw,failure,causal,recovery,3,1203,1203,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,17.146,0.9759308377134112,3,28.166,8.893132687641629,3
mw,failure,causal,transition,3,3,3,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,395.35400000000004,294.2072626109016,3,395.35400000000004,294.2072626109016,3
mw,failure,majority,fault,3,1197,1197,0,0,0,0,0,0.0,0.0,3,1.0,0.0,3,17.451,0.5685727745856287,3,21.77,0.47563326208329904,3
