model,scenario,profile,phase,repeats,attempts_total,eligible_total,violations_total,errors_total,not_observed_total,successful_mr_reads_total,mr_read_regressions_total,violation_rate_mean,violation_rate_sd,violation_rate_n,coverage_mean,coverage_sd,coverage_n,eligible_workload_p50_ms_mean,eligible_workload_p50_ms_sd,eligible_workload_p50_ms_n,eligible_workload_p95_ms_mean,eligible_workload_p95_ms_sd,eligible_workload_p95_ms_n
mw,partition,majority,recovery,1,11,11,0,0,0,0,0,0.0,,1,1.0,,1,18.085,,1,20.337,,1
mw,partition,majority,transition,1,1,0,0,1,0,0,0,,,0,0.0,,1,,,0,,,0
mw,partition,weak,fault,1,9,8,0,1,0,0,0,0.0,,1,0.8888888888888888,,1,97.228,,1,112.572,,1
mw,partition,weak,normal,1,9,9,0,0,0,0,0,0.0,,1,1.0,,1,25.038,,1,34.84,,1
mw,partition,weak,overall,1,30,28,0,2,0,0,0,0.0,,1,0.9333333333333333,,1,27.236,,1,111.535,,1
mw,partition,weak,recovery,1,11,11,0,0,0,0,0,0.0,,1,1.0,,1,26.515,,1,39.91,,1
mw,partition,weak,transition,1,1,0,0,1,0,0,0,,,0,0.0,,1,,,0,,,0
ryw,failure,causal,fault,1,9,9,0,0,0,0,0,0.0,,1,1.0,,1,9.618,,1,12.469,,1
ryw,failure,causal,normal,1,9,9,0,0,0,0,0,0.0,,1,1.0,,1,11.69,,1,48.331,,1
ryw,failure,causal,overall,1,30,30,0,0,0,0,0,0.0,,1,1.0,,1,10.245,,1,37.647,,1
ryw,failure,causal,recovery,1,11,11,0,0,0,0,0,0.0,,1,1.0,,1,9.699,,1,12.404,,1
ryw,failure,causal,transition,1,1,1,0,0,0,0,0,0.0,,1,1.0,,1,14.378,,1,14.378,,1
ryw,failure,majority,fault,1,9,9,0,0,0,0,0,0.0,,1,1.0,,1,10.896,,1,13.441,,1
ryw,failure,majority,normal,1,9,9,0,0,0,0,0,0.0,,1,1.0,,1,10.405,,1,29.63,,1
ryw,failure,majority,overall,1,30,30,0,0,0,0,0,0.0,,1,1.0,,1,10.225,,1,19.947,,1
ryw,failure,majority,recovery,1,11,11,0,0,0,0,0,0.0,,1,1.0,,1,9.073,,1,15.308,,1
ryw,failure,majority,transition,1,1,1,0,0,0,0,0,0.0,,1,1.0,,1,19.947,,1,19.947,,1
ryw,failure,weak,fault,1,9,9,0,0,0,0,0,0.0,,1,1.0,,1,5.138,,1,6.269,,1
ryw,failure,weak,normal,1,9,9,4,0,0,0,0,0.4444444444444444,,1,1.0,,1,6.23,,1,23.759,,1
ryw,failure,weak,overall,1,30,30,4,0,0,0,0,0.13333333333333333,,1,1.0,,1,5.383,,1,11.367,,1
